login_id,user_id,timestamp,ip_address,city,country,latitude,longitude,device_type,user_agent,login_successful,failed_attempts_before_success,mfa_change_flag,mfa_method,typing_speed_ms,session_duration_min,is_suspicious
LOG-23578E4B729C,USR-000450,2026-02-03 12:11:41,93.210.159.14,Miami,US,25.7684,-80.0803,desktop_firefox,Mozilla/5.0 (Windows NT 10.0),True,0,False,hardware_key,143.2,42.4,False
LOG-BBD79E390F1C,USR-000123,2026-02-03 12:12:05,51.217.196.211,Houston,US,29.9046,-95.326,desktop_chrome,Mozilla/5.0 (Linux),True,0,True,sms,124.6,7.0,False
LOG-F3D8EB04FF04,USR-000444,2026-02-03 12:12:58,93.28.77.230,Miami,US,25.7666,-80.1671,desktop_chrome,Mozilla/5.0 (Linux),True,0,False,sms,123.9,1.4,False
LOG-197C68851E77,USR-000315,2026-02-03 12:13:37,51.71.6.151,Houston,US,29.8107,-95.4061,tablet,Mozilla/5.0 (Windows NT 10.0),True,0,False,authenticator_app,160.5,8.6,False
LOG-15E4A4C80853,USR-000164,2026-02-03 12:14:13,200.66.247.104,Los Angeles,US,34.0577,-118.2122,desktop_chrome,Mozilla/5.0 (Windows NT 10.0),False,2,False,authenticator_app,104.0,0,False
LOG-1322F7A5D797,USR-000024,2026-02-03 12:14:33,200.137.120.12,Los Angeles,US,33.9464,-118.2345,tablet,Mozilla/5.0 (Linux),True,0,False,hardware_key,107.5,52.9,False
LOG-7F63C2A1134F,USR-000039,2026-02-03 12:21:10,70.216.84.252,New York,US,40.7178,-73.9534,mobile_ios,Mozilla/5.0 (iPhone),True,0,False,sms,127.1,18.9,False
LOG-29CE26C39F42,USR-000108,2026-02-03 12:23:13,51.158.146.49,Houston,US,29.6781,-95.3803,desktop_firefox,Mozilla/5.0 (Linux),True,0,False,email,91.1,98.6,False
LOG-E89C6DC0885F,USR-000169,2026-02-03 12:23:46,70.220.51.145,New York,US,40.6318,-73.9862,desktop_chrome,Mozilla/5.0 (Windows NT 10.0),True,0,False,hardware_key,105.8,84.0,False
LOG-40A8DCB87183,USR-000010,2026-02-03 12:24:31,93.158.183.200,Miami,US,25.7722,-80.1915,unknown,Mozilla/5.0 (Macintosh),True,0,False,authenticator_app,101.7,74.1,False
LOG-E89EE66FA6BF,USR-000003,2026-02-03 12:26:33,162.174.237.74,Chicago,US,41.9257,-87.5634,desktop_chrome,Mozilla/5.0 (iPhone),True,0,False,sms,72.3,90.4,False
LOG-660F0C53A49A,USR-000135,2026-02-03 12:29:30,162.19.103.236,Chicago,US,41.9166,-87.6097,mobile_android,Mozilla/5.0 (Macintosh),True,0,False,hardware_key,93.1,37.2,False
LOG-852088C06A81,USR-000068,2026-02-03 12:30:16,162.101.155.208,Chicago,US,41.7716,-87.6196,unknown,Mozilla/5.0 (iPhone),True,0,False,email,117.4,29.8,False
LOG-D53FEFB0D4BC,USR-000340,2026-02-03 12:30:37,162.254.124.119,Chicago,US,41.9506,-87.6378,mobile_android,Mozilla/5.0 (Linux),True,0,False,sms,143.7,59.0,False
LOG-665A9266D1D9,USR-000122,2026-02-03 12:37:00,51.23.192.135,Houston,US,29.7928,-95.3376,desktop_chrome,Mozilla/5.0 (Linux),True,0,False,hardware_key,124.0,10.1,False
LOG-3BA4FD75D066,USR-000143,2026-02-03 12:39:01,93.84.195.86,Miami,US,25.7923,-80.1928,unknown,Mozilla/5.0 (Linux),True,0,False,authenticator_app,87.8,31.7,False
LOG-B6C08D2F990B,USR-000123,2026-02-03 12:40:00,51.195.2.58,Houston,US,29.7902,-95.4425,tablet,Mozilla/5.0 (Linux),True,0,False,hardware_key,137.2,86.4,False
LOG-2E4C10627C9C,USR-000398,2026-02-03 12:41:13,93.248.130.236,Miami,US,25.6922,-80.232,mobile_ios,Mozilla/5.0 (Macintosh),True,0,False,hardware_key,106.7,40.1,False
LOG-4D5E50DE0480,USR-000164,2026-02-03 12:41:34,200.169.73.138,Los Angeles,US,34.1259,-118.1213,mobile_android,Mozilla/5.0 (Windows NT 10.0),True,0,False,hardware_key,168.9,98.9,False
LOG-C5DC85C4C44C,USR-000036,2026-02-03 12:43:06,70.156.177.81,New York,US,40.702,-73.9816,tablet,Mozilla/5.0 (iPhone),True,0,False,email,103.3,32.0,False
LOG-703400050E43,USR-000364,2026-02-03 12:45:47,70.47.20.250,New York,US,40.6935,-74.0495,mobile_ios,Mozilla/5.0 (iPhone),True,0,False,hardware_key,122.7,104.0,False
LOG-95C80AD6639B,USR-000365,2026-02-03 12:48:25,51.226.122.88,Houston,US,29.7646,-95.4118,desktop_firefox,Mozilla/5.0 (Windows NT 10.0),True,0,False,sms,127.0,31.7,False
LOG-0F83F3A825A8,USR-000001,2026-02-03 12:52:45,70.243.86.206,New York,US,40.8259,-73.9843,unknown,Mozilla/5.0 (iPhone),True,0,False,authenticator_app,118.0,31.1,False
LOG-9BAC5547FD6D,USR-000431,2026-02-03 13:00:44,162.88.36.117,Chicago,US,41.9359,-87.6187,desktop_chrome,Mozilla/5.0 (Linux),True,0,False,email,138.6,69.2,False
LOG-3C453B0AE6F5,USR-000326,2026-02-03 13:01:02,70.83.25.147,New York,US,40.7635,-73.9811,mobile_android,Mozilla/5.0 (Windows NT 10.0),True,0,False,hardware_key,76.7,27.9,False
LOG-C91C3E5A93F8,USR-000263,2026-02-03 13:06:53,51.185.47.145,Houston,US,29.6989,-95.3749,mobile_ios,Mozilla/5.0 (iPhone),True,0,False,authenticator_app,97.1,69.9,False
LOG-73D5B7AD96CB,USR-000011,2026-02-03 13:08:28,51.196.117.137,Houston,US,29.792,-95.371,tablet,Mozilla/5.0 (Windows NT 10.0),True,0,False,email,134.7,116.3,False
LOG-97009FA69562,USR-000276,2026-02-03 13:09:16,70.226.240.69,New York,US,40.7277,-74.036,desktop_chrome,Mozilla/5.0 (iPhone),True,0,False,email,99.2,101.6,False
LOG-F7FEEB604670,USR-000485,2026-02-03 13:12:24,51.222.127.17,Houston,US,29.7579,-95.452,desktop_firefox,Mozilla/5.0 (Linux),True,0,False,email,76.0,117.5,False
LOG-03E46795DBD0,USR-000244,2026-02-03 13:14:12,51.44.63.160,Houston,US,29.7697,-95.4043,mobile_android,Mozilla/5.0 (Linux),True,0,False,hardware_key,64.8,71.2,False
LOG-CDD8C818B839,USR-000367,2026-02-03 13:15:16,70.52.222.145,New York,US,40.671,-73.9644,desktop_chrome,Mozilla/5.0 (Macintosh),True,0,False,sms,141.7,64.5,False
LOG-6DD5CBBCE824,USR-000472,2026-02-03 13:19:25,51.247.212.135,Houston,US,29.7323,-95.2871,desktop_chrome,Mozilla/5.0 (iPhone),True,0,False,sms,179.0,83.6,False
LOG-2CB08A94FBF0,USR-000052,2026-02-03 13:20:04,93.164.185.246,Miami,US,25.7923,-80.1859,mobile_ios,Mozilla/5.0 (Linux),True,0,False,authenticator_app,98.9,86.9,False
LOG-C54D4E0744B0,USR-000221,2026-02-03 13:20:24,200.125.13.147,Los Angeles,US,34.1277,-118.2173,unknown,Mozilla/5.0 (iPhone),True,0,False,authenticator_app,125.2,101.9,False
LOG-C30662B81F68,USR-000092,2026-02-03 13:21:06,93.215.119.27,Miami,US,25.7782,-80.2495,mobile_android,Mozilla/5.0 (iPhone),True,0,False,sms,76.2,118.6,False
LOG-5705CDA9B094,USR-000079,2026-02-03 13:24:07,51.24.102.174,Houston,US,29.8249,-95.3148,desktop_chrome,Mozilla/5.0 (Macintosh),True,0,False,hardware_key,109.0,12.1,False
LOG-EB7F225932CB,USR-000292,2026-02-03 13:30:01,70.120.90.154,New York,US,40.6524,-74.0281,desktop_chrome,Mozilla/5.0 (Linux),True,0,False,authenticator_app,133.8,58.7,False
LOG-BC9BA61BB277,USR-000365,2026-02-03 13:30:06,51.109.85.174,Houston,US,29.8477,-95.4842,mobile_android,Mozilla/5.0 (Macintosh),True,0,False,sms,153.1,19.3,False
LOG-8197B163EF4F,USR-000135,2026-02-03 13:30:43,162.20.45.136,Chicago,US,41.8709,-87.6934,unknown,Mozilla/5.0 (Macintosh),True,0,False,hardware_key,193.8,39.4,False
LOG-4CFFA51B5F6A,USR-000198,2026-02-03 13:35:34,93.169.178.91,Miami,US,25.7892,-80.1852,mobile_ios,Mozilla/5.0 (Windows NT 10.0),True,0,False,authenticator_app,138.0,67.7,False
LOG-942D1AAE001F,USR-000050,2026-02-03 13:36:46,93.140.208.103,Miami,US,25.789,-80.1917,tablet,Mozilla/5.0 (iPhone),True,0,False,email,111.7,96.4,False
LOG-69CDAC51992A,USR-000046,2026-02-03 13:40:50,93.241.235.128,Miami,US,25.6705,-80.2607,desktop_chrome,Mozilla/5.0 (Windows NT 10.0),True,0,False,hardware_key,114.1,85.9,False
LOG-3096167C8494,USR-000399,2026-02-03 13:41:49,51.89.73.249,Houston,US,29.6967,-95.4695,tablet,Mozilla/5.0 (Macintosh),True,0,False,hardware_key,121.3,113.6,False
LOG-C5A639647223,USR-000487,2026-02-03 13:44:03,70.208.194.85,New York,US,40.7264,-73.9849,unknown,Mozilla/5.0 (Windows NT 10.0),True,0,False,hardware_key,87.6,72.8,False
LOG-C197A4B6D834,USR-000264,2026-02-03 13:45:25,142.201.211.118,Mumbai,IN,19.149,72.8806,unknown,Mozilla/5.0 (Windows NT 10.0),True,3,True,authenticator_app,51.0,65.2,True
LOG-522EF4CDECBE,USR-000478,2026-02-03 13:48:33,200.98.237.151,Los Angeles,US,34.0628,-118.3493,desktop_chrome,Mozilla/5.0 (Macintosh),True,0,False,email,131.4,25.5,False
LOG-1FD344EE9196,USR-000199,2026-02-03 13:51:13,200.16.38.141,Los Angeles,US,34.0352,-118.2626,desktop_firefox,Mozilla/5.0 (Macintosh),True,0,False,email,94.8,118.2,False
LOG-92F6A13AD20B,USR-000424,2026-02-03 13:53:10,70.141.22.234,New York,US,40.7098,-73.9595,mobile_android,Mozilla/5.0 (iPhone),True,0,False,email,130.9,34.3,False
LOG-D333EAD289A8,USR-000266,2026-02-03 13:53:50,162.235.245.6,Chicago,US,41.8682,-87.6238,mobile_android,Mozilla/5.0 (Macintosh),True,0,False,hardware_key,58.9,39.6,False
LOG-92B12A3771EE,USR-000239,2026-02-03 13:56:09,51.27.72.65,Houston,US,29.7616,-95.4231,mobile_ios,Mozilla/5.0 (Linux),True,0,False,authenticator_app,123.6,28.7,False
LOG-BA72F5D96358,USR-000087,2026-02-03 13:57:00,162.115.32.107,Chicago,US,41.8721,-87.6423,tablet,Mozilla/5.0 (Windows NT 10.0),True,0,False,email,138.3,20.3,False
LOG-B7C21B77F1EB,USR-000078,2026-02-03 14:00:42,51.205.87.62,Houston,US,29.7915,-95.369,mobile_android,Mozilla/5.0 (Windows NT 10.0),True,0,False,authenticator_app,162.7,62.9,False
LOG-EED86F869E23,USR-000164,2026-02-03 14:02:46,200.154.74.238,Los Angeles,US,33.9932,-118.2221,desktop_firefox,Mozilla/5.0 (Windows NT 10.0),True,0,False,authenticator_app,111.0,102.5,False
LOG-1044DBCD3118,USR-000256,2026-02-03 14:03:38,51.141.124.92,Houston,US,29.7397,-95.2646,tablet,Mozilla/5.0 (Windows NT 10.0),True,0,False,email,95.4,34.0,False
LOG-F56E5E6416E6,USR-000371,2026-02-03 14:06:51,162.210.4.167,Chicago,US,41.935,-87.5614,tablet,Mozilla/5.0 (iPhone),True,0,False,hardware_key,109.3,98.2,False
LOG-DA0650847E08,USR-000085,2026-02-03 14:08:57,200.180.102.170,Los Angeles,US,34.0954,-118.2587,tablet,Mozilla/5.0 (Macintosh),True,0,False,authenticator_app,166.5,29.9,False
LOG-A735A93546F1,USR-000047,2026-02-03 14:09:26,70.137.102.16,New York,US,40.6684,-73.9591,mobile_ios,Mozilla/5.0 (Windows NT 10.0),True,0,False,authenticator_app,143.7,71.0,False
LOG-CD48182B6AF3,USR-000444,2026-02-03 14:10:58,93.133.181.186,Miami,US,25.7261,-80.2097,desktop_firefox,Mozilla/5.0 (Linux),True,0,False,hardware_key,76.2,18.3,False
LOG-FD4512FD9197,USR-000448,2026-02-03 14:11:38,51.109.117.52,Houston,US,29.6989,-95.3521,unknown,Mozilla/5.0 (iPhone),False,2,False,sms,72.2,0,False
LOG-46E0087BEAB7,USR-000335,2026-02-03 14:16:50,162.229.37.207,Chicago,US,41.9004,-87.5718,unknown,Mozilla/5.0 (Windows NT 10.0),True,0,False,hardware_key,114.7,71.7,False
LOG-B5522DC66467,USR-000009,2026-02-03 14:18:20,70.113.39.19,New York,US,40.7604,-73.9682,tablet,Mozilla/5.0 (Windows NT 10.0),True,0,False,hardware_key,83.6,14.3,False
LOG-694FD378A492,USR-000368,2026-02-03 14:21:22,70.7.2.175,New York,US,40.716,-74.0426,mobile_android,Mozilla/5.0 (Macintosh),True,0,False,authenticator_app,85.5,110.0,False
LOG-2B3678C8A1A0,USR-000171,2026-02-03 14:21:45,200.132.94.251,Los Angeles,US,34.0916,-118.2937,tablet,Mozilla/5.0 (iPhone),True,0,False,sms,154.8,78.0,False
LOG-A34F81110226,USR-000498,2026-02-03 14:22:06,200.199.90.10,Los Angeles,US,34.0485,-118.1822,mobile_ios,Mozilla/5.0 (Macintosh),True,0,False,sms,88.0,88.0,False
LOG-397BAD2DBA9F,USR-000191,2026-02-03 14:22:23,200.128.99.108,Los Angeles,US,34.0924,-118.2116,desktop_chrome,Mozilla/5.0 (Windows NT 10.0),True,0,True,sms,134.1,4.8,False
LOG-79959053C4CF,USR-000009,2026-02-03 14:23:11,70.122.133.153,New York,US,40.7393,-73.97,unknown,Mozilla/5.0 (iPhone),True,0,False,sms,136.6,8.8,False
LOG-C0FD18A77F5F,USR-000146,2026-02-03 14:26:55,93.151.139.91,Miami,US,25.7323,-80.1961,mobile_ios,Mozilla/5.0 (Linux),True,0,False,authenticator_app,133.2,16.7,False
LOG-7F6CFF8C284C,USR-000088,2026-02-03 14:29:55,51.183.113.24,Houston,US,29.8178,-95.3281,desktop_firefox,Mozilla/5.0 (Linux),True,0,False,sms,102.8,60.4,False
LOG-C51EF7FD55E0,USR-000296,2026-02-03 14:35:14,51.167.205.237,Houston,US,29.7342,-95.3225,tablet,Mozilla/5.0 (Linux),True,0,False,authenticator_app,75.9,54.8,False
LOG-7B9ADD1D47A4,USR-000395,2026-02-03 14:36:02,200.110.85.221,Los Angeles,US,34.136,-118.2746,unknown,Mozilla/5.0 (iPhone),True,0,False,sms,69.0,9.8,False
LOG-D80BC2BD65F6,USR-000253,2026-02-03 14:36:36,70.96.13.244,New York,US,40.7128,-73.9909,desktop_firefox,Mozilla/5.0 (Linux),True,0,False,hardware_key,97.5,57.0,False
LOG-27BDF86A9999,USR-000391,2026-02-03 14:38:13,162.5.162.90,Chicago,US,41.8649,-87.611,mobile_android,Mozilla/5.0 (iPhone),True,0,False,authenticator_app,99.7,9.4,False
LOG-7175184A9C91,USR-000162,2026-02-03 14:40:37,200.25.101.123,Los Angeles,US,34.1203,-118.2021,tablet,Mozilla/5.0 (Windows NT 10.0),True,0,False,email,128.5,95.1,False
LOG-16ED45245D91,USR-000343,2026-02-03 14:41:46,70.97.185.46,New York,US,40.7076,-74.0119,mobile_ios,Mozilla/5.0 (Windows NT 10.0),True,0,False,hardware_key,133.8,30.4,False
LOG-A4D2B89211F5,USR-000021,2026-02-03 14:44:09,200.41.13.62,Los Angeles,US,34.099,-118.2252,unknown,Mozilla/5.0 (Macintosh),False,2,False,authenticator_app,105.0,0,False
LOG-C99BCB97CBEB,USR-000222,2026-02-03 14:45:49,70.93.60.109,New York,US,40.6945,-74.0054,desktop_chrome,Mozilla/5.0 (Linux),True,0,False,email,116.6,31.3,False
LOG-841D434CBB22,USR-000246,2026-02-03 14:45:53,70.36.172.216,New York,US,40.6733,-74.0281,mobile_android,Mozilla/5.0 (iPhone),True,0,False,email,119.3,9.8,False
LOG-FB64C86395D8,USR-000230,2026-02-03 14:47:11,70.226.11.192,New York,US,40.6879,-74.0136,desktop_chrome,Mozilla/5.0 (iPhone),True,0,False,authenticator_app,94.2,20.5,False
LOG-102E04D087D6,USR-000149,2026-02-03 14:48:27,200.126.39.76,Los Angeles,US,33.9902,-118.1387,desktop_firefox,Mozilla/5.0 (Macintosh),True,0,False,authenticator_app,121.7,111.6,False
LOG-B2F0D9E3DB5A,USR-000292,2026-02-03 14:48:33,70.39.97.226,New York,US,40.6875,-74.01,desktop_chrome,Mozilla/5.0 (Linux),True,0,False,hardware_key,92.0,116.3,False
LOG-0BD9C08AA417,USR-000397,2026-02-03 14:49:18,162.45.159.212,Chicago,US,41.9315,-87.6088,tablet,Mozilla/5.0 (iPhone),False,2,False,sms,125.7,0,False
LOG-0E273314E7C3,USR-000198,2026-02-03 14:53:19,93.191.131.242,Miami,US,25.7828,-80.2851,tablet,Mozilla/5.0 (iPhone),False,2,False,hardware_key,110.2,0,False
LOG-F79292B82FE7,USR-000149,2026-02-03 14:54:25,200.12.233.206,Los Angeles,US,34.0735,-118.229,unknown,Mozilla/5.0 (Macintosh),True,0,False,email,179.3,81.2,False
LOG-71D460071A7A,USR-000129,2026-02-03 14:55:46,70.77.244.159,New York,US,40.663,-74.0835,tablet,Mozilla/5.0 (Macintosh),True,0,False,sms,127.6,68.5,False
LOG-2F44739C4757,USR-000473,2026-02-03 14:57:01,162.14.89.101,Chicago,US,41.8944,-87.6614,unknown,Mozilla/5.0 (Windows NT 10.0),True,0,False,sms,174.4,83.2,False
LOG-FBB745A4044C,USR-000388,2026-02-03 14:57:07,200.145.177.65,Los Angeles,US,34.0636,-118.2008,mobile_ios,Mozilla/5.0 (iPhone),True,0,False,authenticator_app,93.0,13.9,False
LOG-439DF952244F,USR-000097,2026-02-03 14:57:19,51.128.21.142,Houston,US,29.7271,-95.3344,desktop_firefox,Mozilla/5.0 (Windows NT 10.0),True,0,False,authenticator_app,92.8,111.4,False
LOG-794EE432F9EB,USR-000420,2026-02-03 15:01:11,184.51.209.242,Dubai,AE,25.2079,55.2325,desktop_firefox,Mozilla/5.0 (Macintosh),True,2,False,email,33.0,14.6,True
LOG-7DA49C816FA8,USR-000197,2026-02-03 15:01:39,200.151.168.57,Los Angeles,US,34.0754,-118.2349,mobile_ios,Mozilla/5.0 (Macintosh),True,0,False,sms,128.7,55.2,False
LOG-01380AFF2705,USR-000074,2026-02-03 15:02:12,200.104.215.133,Los Angeles,US,33.9965,-118.3244,mobile_android,Mozilla/5.0 (Macintosh),True,0,False,sms,94.5,101.8,False
LOG-52207541F0F1,USR-000066,2026-02-03 15:04:12,162.75.150.19,Chicago,US,41.8953,-87.6457,unknown,Mozilla/5.0 (Windows NT 10.0),True,0,False,hardware_key,123.3,102.0,False
LOG-EA334A51F635,USR-000207,2026-02-03 15:05:40,70.172.31.118,New York,US,40.6556,-73.9882,mobile_android,Mozilla/5.0 (Linux),True,0,False,email,102.9,49.3,False
LOG-0C5E9FE4421B,USR-000316,2026-02-03 15:08:09,200.2.58.113,Los Angeles,US,34.1115,-118.2196,desktop_firefox,Mozilla/5.0 (Windows NT 10.0),True,0,False,hardware_key,95.9,116.2,False
LOG-F2B0093F9799,USR-000335,2026-02-03 15:09:57,162.33.16.154,Chicago,US,41.8443,-87.6415,desktop_firefox,Mozilla/5.0 (Windows NT 10.0),True,0,False,authenticator_app,219.3,38.7,False
LOG-262163CC3E6C,USR-000014,2026-02-03 15:11:03,70.188.39.29,New York,US,40.672,-74.0688,desktop_firefox,Mozilla/5.0 (Linux),True,0,False,sms,99.5,30.4,False
LOG-0AEF82ED95AE,USR-000428,2026-02-03 15:14:16,162.178.247.129,Chicago,US,41.856,-87.6835,unknown,Mozilla/5.0 (Macintosh),True,0,False,email,96.8,117.1,False
LOG-6220F8EDE86A,USR-000283,2026-02-03 15:16:16,93.217.183.28,Miami,US,25.7825,-80.2171,desktop_firefox,Mozilla/5.0 (Linux),True,0,False,email,106.2,56.4,False
LOG-2A9D9C97A7C9,USR-000014,2026-02-03 15:20:18,70.166.246.161,New York,US,40.7877,-73.9415,mobile_ios,Mozilla/5.0 (Windows NT 10.0),False,1,False,sms,180.0,0,False
LOG-1CFB153C95DF,USR-000047,2026-02-03 15:25:36,70.242.220.67,New York,US,40.7192,-74.0693,mobile_ios,Mozilla/5.0 (Macintosh),True,0,False,sms,162.8,99.6,False
LOG-416F5359B9F0,USR-000224,2026-02-03 15:25:56,51.104.110.88,Houston,US,29.7256,-95.3645,desktop_firefox,Mozilla/5.0 (Windows NT 10.0),True,0,False,email,133.6,81.2,False
LOG-D6BD1FB1EEF7,USR-000213,2026-02-03 15:29:14,93.17.130.2,Miami,US,25.8286,-80.1869,desktop_firefox,Mozilla/5.0 (Windows NT 10.0),True,0,False,sms,71.8,73.0,False
LOG-D4DD6E4C9D90,USR-000366,2026-02-03 15:30:40,162.55.119.225,Chicago,US,41.9174,-87.6348,mobile_ios,Mozilla/5.0 (Macintosh),True,0,False,hardware_key,64.8,43.4,False
LOG-E30D1C13E987,USR-000090,2026-02-03 15:34:30,70.26.99.43,New York,US,40.7143,-74.0674,tablet,Mozilla/5.0 (Linux),True,0,False,hardware_key,137.7,108.0,False
LOG-1BF0815E0A1B,USR-000242,2026-02-03 15:35:53,200.99.210.170,Los Angeles,US,34.0772,-118.3232,desktop_chrome,Mozilla/5.0 (Windows NT 10.0),True,0,False,authenticator_app,125.0,9.9,False
LOG-F2D253FD0B59,USR-000240,2026-02-03 15:37:08,200.182.82.80,Los Angeles,US,34.0979,-118.2627,desktop_firefox,Mozilla/5.0 (Windows NT 10.0),False,1,False,hardware_key,105.0,0,False
LOG-62D25550659D,USR-000104,2026-02-03 15:50:58,162.105.147.125,Chicago,US,41.8963,-87.6645,mobile_ios,Mozilla/5.0 (Windows NT 10.0),True,0,False,email,117.7,75.1,False
LOG-6FE5BF6C80C9,USR-000160,2026-02-03 15:53:03,162.129.221.151,Chicago,US,41.8359,-87.5965,mobile_ios,Mozilla/5.0 (iPhone),True,0,False,sms,172.8,115.6,False
LOG-6AAD5D31189F,USR-000324,2026-02-03 15:54:10,93.31.89.113,Miami,US,25.7571,-80.2204,unknown,Mozilla/5.0 (iPhone),True,0,False,hardware_key,93.5,16.1,False
LOG-776E1FF0D2E2,USR-000122,2026-02-03 15:58:46,51.19.188.129,Houston,US,29.7831,-95.3135,unknown,Mozilla/5.0 (Linux),True,0,False,sms,106.6,78.1,False
LOG-84A615E1466D,USR-000210,2026-02-03 15:58:50,162.136.131.254,Chicago,US,41.9552,-87.6016,desktop_chrome,Mozilla/5.0 (Macintosh),True,0,False,hardware_key,26.4,103.1,False
LOG-722474C52E28,USR-000386,2026-02-03 15:59:46,200.11.181.112,Los Angeles,US,33.9622,-118.2644,desktop_chrome,Mozilla/5.0 (iPhone),True,0,False,authenticator_app,95.4,34.4,False
LOG-F9C57BE86881,USR-000231,2026-02-03 16:01:56,70.122.105.121,New York,US,40.7295,-73.9921,mobile_ios,Mozilla/5.0 (Linux),True,0,False,hardware_key,123.0,119.5,False
LOG-7B48B00BE0D4,USR-000250,2026-02-03 16:03:41,70.132.190.99,New York,US,40.6042,-74.0222,tablet,Mozilla/5.0 (Macintosh),True,0,False,email,137.1,7.7,False
LOG-ABFC9FC1AC1D,USR-000014,2026-02-03 16:04:33,70.45.20.96,New York,US,40.6588,-73.9388,unknown,Mozilla/5.0 (Macintosh),True,0,False,sms,103.3,116.1,False
LOG-BA3D43022B92,USR-000054,2026-02-03 16:04:44,93.54.117.148,Miami,US,25.7582,-80.2469,desktop_firefox,Mozilla/5.0 (Linux),True,0,True,sms,115.8,9.7,False
LOG-2ED9F0390F3D,USR-000351,2026-02-03 16:10:55,93.233.128.242,Miami,US,25.815,-80.1399,mobile_ios,Mozilla/5.0 (Windows NT 10.0),True,0,False,hardware_key,125.5,8.6,False
LOG-2FB863C10E85,USR-000436,2026-02-03 16:12:05,70.173.146.97,New York,US,40.6918,-73.9245,mobile_android,Mozilla/5.0 (Windows NT 10.0),True,0,False,sms,47.4,45.6,False
LOG-4E457F71F0F2,USR-000440,2026-02-03 16:12:36,93.223.152.39,Miami,US,25.752,-80.1973,tablet,Mozilla/5.0 (Macintosh),True,0,False,email,98.3,107.6,False
LOG-E6771D43B7C9,USR-000104,2026-02-03 16:14:39,162.190.251.67,Chicago,US,41.955,-87.5908,tablet,Mozilla/5.0 (Macintosh),True,0,False,email,116.0,81.2,False
LOG-AE81E0716A67,USR-000420,2026-02-03 16:16:25,35.133.61.122,Beijing,CN,39.9083,116.4923,unknown,Mozilla/5.0 (Windows NT 10.0),True,1,False,hardware_key,49.3,54.2,True
LOG-41D58A58702F,USR-000484,2026-02-03 16:18:08,162.242.208.144,Chicago,US,41.9331,-87.5942,unknown,Mozilla/5.0 (Macintosh),True,0,False,hardware_key,65.7,14.9,False
LOG-9A9EA4A84D6D,USR-000092,2026-02-03 16:18:21,93.70.81.143,Miami,US,25.689,-80.2382,unknown,Mozilla/5.0 (Windows NT 10.0),True,0,False,sms,130.8,110.6,False
LOG-BD96D0AA22AC,USR-000291,2026-02-03 16:18:50,200.180.103.183,Los Angeles,US,33.9799,-118.2651,mobile_ios,Mozilla/5.0 (Macintosh),True,0,False,email,103.8,111.7,False
